seq,global_ts,power.ts,power.current,power.voltage,steering.ts,steering.brake_pressure,steering.turn_angle,rpm_front.ts,rpm_front.rpm_left,rpm_front.rpm_right,rpm_back.ts,rpm_back.rpm_left,rpm_back.rpm_right,gps.ts,gps.lat,gps.long,gps.heading,gps.speed,motor.ts,motor.rpm,motor.throttle,filtered.speed,_t_publish_ns,timestamp
76718,527206505,855524792,0.9199633002281189,52.432525634765625,854979069,1.2104029655456543,0.36989009380340576,0,nan,nan,854981659,291.919677734375,299.8081359863281,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,854979677,0.0,0.0,8.814396858215332,1775743302327917279,1775743302331104527
76720,527225001,855547734,1.000549554824829,52.37450408935547,855000895,1.2031501531600952,0.3690842390060425,0,nan,nan,855001231,290.4725036621094,293.5650634765625,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,854998614,0.0,0.0,8.818358421325684,1775743302347491856,1775743302348583803
76720,527225001,855547734,1.000549554824829,52.37450408935547,855000895,1.2031501531600952,0.3690842390060425,0,nan,nan,855001231,290.4725036621094,293.5650634765625,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,854998614,0.0,0.0,8.818358421325684,1775743302368594615,1775743302369450583
76722,527255454,855566214,0.8796703219413757,52.451866149902344,855022493,1.2087911367416382,0.3763369917869568,0,nan,nan,855025661,293.6570129394531,290.6526184082031,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,855027760,0.0,0.0,8.822328567504883,1775743302387844067,1775743302389205621
76724,527273471,855597306,0.718498170375824,52.413185119628906,855049244,1.2063735723495483,0.37069597840309143,0,nan,nan,855049853,288.63916015625,289.03961181640625,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,855046674,0.0,0.0,8.821051597595215,1775743302407486607,1775743302408723736
76726,527290766,855614880,0.7990842461585999,52.451866149902344,855068587,1.2007325887680054,0.36989009380340576,0,nan,nan,855066886,291.0586853027344,284.738037109375,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,855064294,0.0,0.0,8.818406105041504,1775743302427535492,1775743302429131394
76730,527326363,855651744,0.8796703219413757,52.432525634765625,855103101,1.2031501531600952,0.37714284658432007,0,nan,nan,855102301,283.48956298828125,284.4356689453125,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,855099695,0.0,0.0,8.800651550292969,1775743302447603729,1775743302448750952
76732,527345404,855667275,1.1617214679718018,52.47120666503906,855121832,1.2071794271469116,0.3690842390060425,0,nan,nan,855121036,289.6647644042969,280.1434326171875,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,855118184,0.0,0.0,8.794466018676758,1775743302468114181,1775743302471027341
76734,527361741,855686350,0.7990842461585999,52.47120666503906,855138251,1.2087911367416382,0.3755311369895935,0,nan,nan,855137920,291.1490783691406,285.64898681640625,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,855135172,0.0,0.0,8.793911933898926,1775743302487623185,1775743302488738058
76736,527381345,855702626,0.9602563977241516,52.5098876953125,855155270,1.2087911367416382,0.37069597840309143,0,nan,nan,855157523,291.2847595214844,296.5364685058594,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,855154865,0.0,0.0,8.801778793334961,1775743302507603294,1775743302508884201
76738,527400145,855722159,0.718498170375824,52.451866149902344,855172780,1.2087911367416382,0.3682783842086792,0,nan,nan,855175929,290.4275207519531,293.9332275390625,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,855173215,0.0,0.0,8.80661678314209,1775743302527707956,1775743302529814351
76740,527423057,855741101,0.7587912678718567,52.47120666503906,855194039,1.205567717552185,0.3674725294113159,0,nan,nan,855197855,288.0184326171875,282.2095031738281,526171265,39.796451568603516,-86.2387466430664,359.04998779296875,9.843886375427246,855196430,0.0,0.0,8.800453186035156,1775743302547523271,1775743302548846899
76742,527441832,855764772,0.9199633002281189,52.451866149902344,855215501,1.2031501531600952,0.3731135427951813,0,nan,nan,855218395,288.9505310058594,293.3354187011719,527441100,39.79653549194336,-86.23875427246094,358.3999938964844,9.579462051391602,855215399,0.0,0.0,8.803777694702148,1775743302567515972,1775743302568977153
76744,527457344,855782787,1.202014684677124,52.49054718017578,855233444,1.202344298362732,0.36989009380340576,0,nan,nan,855232723,293.24365234375,287.75323486328125,527441100,39.79653549194336,-86.23875427246094,358.3999938964844,9.579462051391602,855230331,0.0,0.0,8.805953979492188,1775743302587499376,1775743302588861763
76748,527485547,855812666,0.7587912678718567,52.39384460449219,855263511,1.2071794271469116,0.372307687997818,0,nan,nan,855261338,287.7973937988281,283.06158447265625,527441100,39.79653549194336,-86.23875427246094,358.3999938964844,9.579462051391602,855258352,0.0,0.0,8.799866676330566,1775743302607489151,1775743302608638171
76750,527503144,855826577,0.7990842461585999,52.432525634765625,855279448,1.2015384435653687,0.37069597840309143,0,nan,nan,855279654,289.6200256347656,278.85186767578125,527441100,39.79653549194336,-86.23875427246094,358.3999938964844,9.579462051391602,855276553,0.0,0.0,8.792702674865723,1775743302627738441,1775743302630416253
